employer,platform,identifier_1,identifier_2,identifier_3,live_count,source,notes
Compassion International,workday,compassion,wd5,CompassionCareers,,example,"Workday: tenant, data center (wdN), site slug — all three come from https://compassion.wd5.myworkdayjobs.com/CompassionCareers"
Navy Federal Credit Union,oracle_orc,https://fa-etbx-saasfaprod1.fa.ocs.oraclecloud.com,CX_1001,,,example,"Oracle Recruiting Cloud: host, site number"
Planning Center,greenhouse,planningcenter,,,,example,Greenhouse: board token from boards.greenhouse.io/<token>
Aledade,lever,aledade,,,,example,Lever: company slug from jobs.lever.co/<slug>
Dandy,ashby,dandy,,,,example,Ashby: org slug from jobs.ashbyhq.com/<slug> (URL-encode spaces are handled for you)
Credence,workable,credence,,,,example,Workable: account slug from apply.workable.com/<slug>
Biblica,bamboohr,biblica,,,,example,BambooHR: subdomain from <sub>.bamboohr.com
ServiceNow,smartrecruiters,ServiceNow,,,,example,"SmartRecruiters: company id, CASE-SENSITIVE (a wrong id returns 200 with zero jobs)"
Microsoft,eightfold,https://apply.careers.microsoft.com,microsoft.com,,,example,"Eightfold: careers host URL + company domain (from the site's ?domain= query); ~2,200 postings, 10 per page"
Logos Bible Software,paylocity,cd6cba65-20a5-4466-b3ba-5debbe12930b,Logos,,,example,"Paylocity: company GUID from the jobs/All/<guid>/<slug> URL; apply links show only a numeric JobId"
